appid,wikidata_name,esrb_rating,hltb_id,igdb_id,metacritic_id,opencritic_id,game_engine
870570,Black Steel,,,blacksteel,,,
912380,Submorse,,,submorse,,,
594000,Shadows and Lies,,,shadows-and-lies,,,
961010,The Hand of Glory,,,the-hand-of-glory,,9661,
733300,My Big Sister,Teen,,my-big-sister,,7665,Adventure Game Studio
763550,A Journey Through Valhalla,,,a-journey-through-valhalla,,,
838050,The Hero Project: Open Season,,,the-hero-project-open-season,,,
679660,aMAZE ZER0,,,amaze-zer0,,,
841030,Fairy Escape,,,fairy-escape,,,
753284,Wars Across the World: Caesar 54,,,wars-across-the-world-caesar-54,,,
664870,Forgotten Faces,,,forgotten-faces,,,
861230,Arevoatl Seven Coins,,,arevoatl-seven-coins,,,
913440,Mahjongg The Ultimate Collection 2,,,mahjongg-the-ultimate-collection-2,,,
1200430,Sick Way,,,sick-way,,,
1240690,PIVO,,,pivo,,,
961870,Toltec and the mysteries of the Secret Island,,,toltec-and-the-mysteries-of-the-secret-island,,,
1265170,Silver Whistle,,,silver-whistle,,,
856980,7-in-1 Brain Sharpness Bundle,,,7-in-1-brain-sharpness-bundle,,,
910150,Roving in the Dark,,,roving-in-the-dark,,,
906280,Combat Rush,,,combat-rush,,,
718370,LSD,,,lsd,,,
964450,Control Freak,,,control-freak,,,
875160,Mall Town,,,mall-town,,,
1015770,Tina: Swordswoman of the Scarlet Prison,,,tina-swordswoman-of-the-scarlet-prison,,,
839540,Electroquest: Resistance is Futile,,,electroquest-resistance-is-futile,,,
842030,Not So Middle Ages,,,not-so-middle-ages,,,
878020,It's You: A Breakup Story,,,its-you-a-breakup-story,,,
828070,Treasure Hunter Claire,,,treasure-hunter-claire,,,
946690,RPGGAME,,,tank-survival-game,,,
967100,Curfew,,,the-curfew,,,
939200,Gold Magic 800,,,gold-magic-800,,,
1161570,Dark Parables: Portrait of the Stained Princess Collector's Edition,,,dark-parables-portrait-of-the-stained-princess-collectors-edition,,,
1102700,Alpha Dog,,,alpha-dog,,,
991710,GunboundM,,,gunboundm,,,
852500,WorldQuest,,,worldquest,,,
1123230,HEXTERMINATE,,,hexterminate,,,
852560,GUNS BATTLE ROYALE,,,guns-battle-royale,,,
665640,SpaceWorms,,,spaceworms,,,
1064340,Chess Evolved Online,,,chess-evolved-online,,,
